id,sq1,sq2,sq3,q1_1,q1_2_1,q1_2_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q1_8_a,q1_9,q1_9_a,q1_9_1_1,q1_9_1_2,q1_9_1_a,q1_10,q1_11,q1_12_1,q1_12_2,q1_12_3,q1_12_4,q1_12_5,q1_12_6,q1_12_7,q1_12_8,q1_12_9,q1_12_10,q1_13_1,q1_13_2,q1_13_3,q1_13_4,q1_13_5,q1_13_6,q1_13_7,q1_13_8,q1_13_9,q1_14_1,q1_14_2,q1_14_3,q1_14_4,q1_14_5,q1_14_6,q1_15,q1_15_a,q1_16,q2_1,q2_2,q2_3_1,q2_3_2,q2_3_3,q2_3_4,q2_3_5,q2_3_6,q2_4_1,q2_4_2,q2_4_3,q2_4_4,q2_5,q2_6,q2_7,q2_8,q3_1_1,q3_1_2,q3_1_3,q3_1_4,q3_1_5,q3_2,q3_3,q3_4,q3_4_a,q4_1,q4_2,q4_3,q4_4_1,q4_4_2,q4_4_3,q4_4_4,q4_4_5,q4_4_6,q4_4_7,q4_4_8,q4_4_9,q4_4_10,q4_4_11,q4_5_1_1,q4_5_2_1,q4_5_1_2,q4_5_2_2,q4_5_1_3,q4_5_2_3,q4_5_1_4,q4_5_2_4,q4_5_1_5,q4_5_2_5,q4_5_1_6,q4_5_2_6,q4_5_1_7,q4_5_2_7,q4_5_1_8,q4_5_2_8,q4_5_1_9,q4_5_2_9,q4_5_1_10,q4_5_2_10,q4_5_1_11,q4_5_2_11,q4_6_1,q4_6_2,q4_6_a,sq4,sq5,sq6,sq6_a,sq7,sq8,sq9,sq10,sq11,sq12
1,1,9,27,1,2018,10,3,2,2,3,2,1,2,2,-1,7,5, ,2,2,3,3,4,3,2,2,3,3,3,3,2,3,4,3,3,2,3,3,3,4,3,4,3,3,3,8, ,3,1,2,4,3,3,4,3,3,3,3,3,3,3,3,3,1,2,3,3,2,3,2,2,2,8000,2,2,3,0,0,0,1,1,0,0,0,0,0, ,1,2,1,2,2,3,2,3,2,3,2,3,1,3,1,3,1,3,1,3,1,3,11,9, ,4,2,5, ,5,6,2,3,5,5
2,1,9,44,1,2005,2,3,2,2,4,2,1,2,2,-1,6,7, ,3,2,3,3,2,2,3,4,3,3,3,3,3,3,4,3,3,2,2,3,3,3,2,2,2,3,3,8, ,2,1,3,4,4,4,3,3,4,3,3,3,3,3,2,2,2,5,4,4,4,4,3,3,2,6500,3,5,3,0,1,1,0,0,0,0,0,0,0, ,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1, ,6,2,4, ,4,6,1,5,5,3
3,2,9,39,1,2004,10,3,2,2,4,3,1,2,2,-1,8,14, ,2,2,3,4,4,3,3,3,4,3,3,3,2,3,3,4,4,3,3,3,3,4,3,2,4,3,3,8, ,3,1,3,4,5,4,4,4,4,2,2,2,2,3,3,3,2,4,3,5,4,5,3,3,2,5000,3,4,1,0,0,0,0,0,0,0,0,0,1, ,1,2,1,2,1,3,2,3,2,3,2,3,1,3,1,3,1,3,2,3,2,3,6,7, ,5,2,3, ,4,5,1,4,6,3
4,2,9,44,1,2005,5,3,2,2,4,2,1,2,2,-1,3,4, ,2,2,4,4,3,3,4,3,3,4,3,3,2,2,3,3,3,2,3,4,4,5,5,4,4,3,4,8, ,4,1,3,4,3,4,4,3,3,3,2,3,3,3,3,3,2,3,3,2,2,3,3,3,2,6000,3,3,2,1,1,0,0,0,0,0,0,0,0, ,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,12,14, ,6,2,3, ,4,4,1,4,6,4
5,2,9,40,1,2010,5,3,2,2,3,3,1,1,2,-1,17,3, ,2,2,4,3,2,2,3,4,3,3,3,3,3,3,2,2,4,3,2,3,3,3,3,2,2,3,3,8, ,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,4,3,4,4,4,3,3,2,6000,3,5,3,0,0,1,0,0,0,1,0,0,0, ,1,1,1,1,1,3,1,3,2,3,2,3,1,3,1,3,1,3,1,3,1,3,4,2, ,5,2,-1, ,-1,-1,1,1,5,4
6,2,9,37,1,2004,5,2,1,2,5,2,1,2,2,-1,6,5, ,2,2,5,5,5,5,5,5,2,4,5,5,5,5,3,4,2,2,1,1,3,5,5,5,5,1,5,8, ,5,1,3,4,4,3,4,2,3,2,1,1,1,2,2,2,3,4,4,4,4,4,3,4,2,5000,4,3,2,0,0,0,0,1,0,0,0,0,0, ,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,12,14, ,6,2,3, ,4,4,1,4,7,3
7,2,9,44,1,2004,8,3,1,2,4,2,1,2,2,-1,9,8, ,2,2,3,4,4,3,3,4,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,8, ,4,1,3,4,3,3,4,3,4,3,3,3,3,3,3,3,1,4,4,3,4,5,3,3,2,6000,3,3,2,0,1,0,0,1,0,0,0,0,0, ,1,2,1,2,1,3,1,3,2,3,2,3,1,3,1,3,1,3,1,3,1,3,8,2, ,4,2,4, ,5,6,1,3,6,4
8,2,9,44,1,2000,1,3,2,2,3,2,1,2,2,-1,9,17, ,2,2,3,2,2,3,3,2,2,3,3,3,3,2,4,4,3,3,4,3,3,3,4,4,3,3,3,8, ,1,1,3,4,4,4,4,4,4,3,3,3,3,3,3,3,2,4,4,4,3,4,3,3,2,6000,3,3,2,0,0,0,0,0,0,1,1,0,0, ,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,4,6, ,4,2,5, ,2,6,1,3,6,4
9,2,9,38,1,2015,8,3,1,2,4,2,1,2,2,-1,9,8, ,2,2,3,3,4,3,2,2,3,3,3,3,3,3,3,2,2,3,4,3,3,3,2,2,3,3,3,8, ,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,1,4,4,4,4,4,3,3,2,6000,3,3,2,1,1,0,0,0,0,0,0,0,0, ,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,12,4, ,5,2,-1, ,-1,-1,1,1,5,4
10,1,9,39,1,2008,5,2,2,2,3,2,1,2,2,-1,6,1, ,3,2,4,3,3,4,3,4,3,3,4,4,3,3,2,4,3,3,4,3,3,4,5,3,3,3,3,8, ,3,1,3,4,3,3,4,4,3,3,3,3,3,3,3,3,1,3,3,2,2,3,3,3,2,6500,3,3,2,0,0,0,0,1,0,1,0,0,0, ,1,2,1,2,2,3,2,3,2,3,2,3,2,3,1,3,1,3,1,3,1,3,4,2, ,4,2,4, ,5,6,1,3,3,5
11,1,9,43,1,2004,5,1,1,2,4,2,1,2,3,-1,-1,-1, ,3,3,4,3,4,4,3,3,4,4,3,4,2,2,3,3,2,2,3,4,3,4,5,3,3,3,3,8, ,2,1,3,4,3,3,4,4,4,3,2,2,3,2,3,3,1,3,2,2,3,3,3,3,2,6000,3,3,2,1,1,0,0,0,0,0,0,0,0, ,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,4,3, ,5,2,4, ,4,5,1,3,4,4
