name,school,establishment,type,province,office of education
대구국우초등학교,elmentary,2022,public,대구광역시,대구광역시서부교육지원청
대전원신흥중학교,middle,2022,public,대전광역시,대전광역시서부교육지원청
서울위례솔초등학교,elmentary,2022,public,서울특별시,서울특별시강동송파교육지원청
위례솔중학교,middle,2022,public,서울특별시,서울특별시교육청
은하수초등학교,elmentary,2022,public,경상남도,경상남도진주교육지원청
치동중학교,middle,2022,public,경기도,경기도화성오산교육지원청
이솔고등학교,high,2022,public,경기도,경기도화성오산교육지원청
화성세정중학교,middle,2022,public,경기도,경기도화성오산교육지원청
집현중학교,middle,2022,public,세종특별자치시,세종특별자치시교육청
인천아라중학교,middle,2022,public,인천광역시,인천광역시서부교육지원청
인천현송중학교,middle,2022,public,인천광역시,인천광역시동부교육지원청
온샘초등학교,elmentary,2022,public,부산광역시,부산광역시동래교육지원청
군산금빛초등학교,elmentary,2022,public,전라북도,전라북도군산교육지원청
한들물빛초등학교,elmentary,2022,public,충청남도,충청남도아산교육지원청
오션중학교,middle,2022,public,부산광역시,부산광역시북부교육지원청
한들물빛중학교,middle,2022,public,충청남도,충청남도아산교육지원청
다산새봄중학교,middle,2022,public,경기도,경기도구리남양주교육지원청
나래중학교,middle,2022,public,경기도,경기도김포교육지원청
범박중학교,middle,2022,public,경기도,경기도부천교육지원청
인천이음중학교,middle,2022,public,인천광역시,인천광역시서부교육지원청
심학중학교,middle,2022,public,경기도,경기도파주교육지원청
대전호수초등학교,elmentary,2022,public,대전광역시,대전광역시서부교육지원청
다율초등학교,elmentary,2022,public,경기도,경기도파주교육지원청
인천아라고등학교,high,2022,public,인천광역시,인천광역시서부교육지원청
서울양원숲초등학교,elmentary,2022,public,서울특별시,서울특별시동부교육지원청
광주예술중학교,middle,2022,public,광주광역시,광주광역시동부교육지원청
대전원신흥초등학교복용분교장,elmentary,2022,public,대전광역시,대전광역시서부교육지원청
포담초등학교,elmentary,2022,public,경기도,경기도포천교육지원청
전주만성중학교,middle,2022,public,전라북도,전라북도전주교육지원청
서울강빛초등학교,elmentary,2021,public,서울특별시,서울특별시강동송파교육지원청
운남중학교,middle,2021,public,경상북도,경상북도김천교육지원청
인천청호초등학교,elmentary,2021,public,인천광역시,인천광역시서부교육지원청
나성중학교,middle,2021,public,세종특별자치시,세종특별자치시교육청
여울초등학교,elmentary,2021,public,경기도,경기도화성오산교육지원청
나성초등학교,elmentary,2021,public,세종특별자치시,세종특별자치시교육청
산들중학교,middle,2021,public,경기도,경기도파주교육지원청
대구팔공중학교,middle,2021,public,대구광역시,대구광역시동부교육지원청
이솔초등학교,elmentary,2021,public,경기도,경기도화성오산교육지원청
신우초등학교,elmentary,2021,public,경기도,경기도광주하남교육지원청
호연초등학교,elmentary,2021,public,경기도,경기도화성오산교육지원청
신원고등학교,high,2021,public,경기도,경기도고양교육지원청
감일고등학교,high,2021,public,경기도,경기도광주하남교육지원청
대구국제고등학교,high,2021,public,대구광역시,대구광역시서부교육지원청
일광중학교,middle,2021,public,부산광역시,부산광역시해운대교육지원청
대구공업고등학교테크노폴리스캠퍼스,high,2021,public,대구광역시,대구광역시달성교육지원청
대구팔공초등학교,elmentary,2021,public,대구광역시,대구광역시동부교육지원청
인천해든초등학교,elmentary,2021,public,인천광역시,인천광역시서부교육지원청
단샘초등학교,elmentary,2021,public,경기도,경기도광주하남교육지원청
수현중학교,middle,2021,public,경기도,경기도화성오산교육지원청
샘마루초등학교,elmentary,2021,public,강원도,강원도원주교육지원청
퇴계초등학교,elmentary,2021,public,강원도,강원도춘천교육지원청
석적중학교,middle,2021,public,경상북도,경상북도칠곡교육지원청
웅천중학교,middle,2021,public,경상남도,경상남도창원교육지원청
율빛초등학교,elmentary,2021,public,경기도,경기도동두천양주교육지원청
인천하늘중학교,middle,2021,public,인천광역시,인천광역시남부교육지원청
지축중학교,middle,2021,public,경기도,경기도고양교육지원청
다산별빛초등학교,elmentary,2021,public,경기도,경기도구리남양주교육지원청
옥빛고등학교,high,2021,public,경기도,경기도동두천양주교육지원청
판교대장초등학교,elmentary,2021,public,경기도,경기도성남교육지원청
인천현송초등학교,elmentary,2021,public,인천광역시,인천광역시동부교육지원청
인천송담초등학교,elmentary,2021,public,인천광역시,인천광역시동부교육지원청
처인고등학교,high,2021,public,경기도,경기도용인교육지원청
하랑초등학교,elmentary,2021,public,경기도,경기도구리남양주교육지원청
강빛중학교,middle,2021,public,서울특별시,서울특별시강동송파교육지원청
한여울초등학교,elmentary,2021,public,경기도,경기도시흥교육지원청
해밀고등학교,high,2021,public,세종특별자치시,세종특별자치시교육청
다산하늘초등학교,elmentary,2021,public,경기도,경기도구리남양주교육지원청
판교대장중학교,middle,2021,public,경기도,경기도성남교육지원청
시흥가온중학교,middle,2021,public,경기도,경기도시흥교육지원청
마산고운초등학교,elmentary,2021,public,경상남도,경상남도창원교육지원청
향동고등학교,high,2021,public,경기도,경기도고양교육지원청
옥빛중학교,middle,2021,public,경기도,경기도동두천양주교육지원청
거제용소초등학교,elmentary,2021,public,경상남도,경상남도거제교육지원청
인천한별초등학교,elmentary,2021,public,인천광역시,인천광역시서부교육지원청
해빛초등학교,elmentary,2021,public,부산광역시,부산광역시해운대교육지원청
위례숲초등학교,elmentary,2021,public,경기도,경기도광주하남교육지원청
회야초등학교,elmentary,2021,public,경상남도,경상남도양산교육지원청
광주송정초등학교,elmentary,2021,public,경기도,경기도광주하남교육지원청
인천미송중학교,middle,2021,public,인천광역시,인천광역시동부교육지원청
진영장등초등학교,elmentary,2021,public,경상남도,경상남도김해교육지원청
인천중산고등학교,high,2021,public,인천광역시,인천광역시남부교육지원청
보개초등학교,elmentary,2021,public,경기도,경기도안성교육지원청
인천청호중학교,middle,2021,public,인천광역시,인천광역시서부교육지원청
새봄초등학교,elmentary,2021,public,경기도,경기도화성오산교육지원청
대구연경초등학교,elmentary,2021,public,대구광역시,대구광역시서부교육지원청
안산해솔중학교,middle,2021,public,경기도,경기도안산교육지원청
생명중학교,middle,2021,public,충청북도,충청북도청주교육지원청
초롱초등학교,elmentary,2021,public,경기도,경기도파주교육지원청
퇴계중학교,middle,2021,public,강원도,강원도춘천교육지원청
대구한실초등학교,elmentary,2020,public,대구광역시,대구광역시남부교육지원청
인천경연중학교,middle,2020,public,인천광역시,인천광역시서부교육지원청
항동중학교,middle,2020,public,서울특별시,서울특별시남부교육지원청
운정중학교,middle,2020,public,경기도,경기도파주교육지원청
삼남초등학교,elmentary,2020,public,울산광역시,울산광역시강남교육지원청
원흥초등학교,elmentary,2020,public,경기도,경기도고양교육지원청
서경초등학교,elmentary,2020,public,경기도,경기도화성오산교육지원청
서연고등학교,high,2020,public,경기도,경기도화성오산교육지원청
인천새봄초등학교,elmentary,2020,public,인천광역시,인천광역시동부교육지원청
구미산동고등학교,high,2020,public,경상북도,경상북도구미교육지원청
전주화정중학교,middle,2020,public,전라북도,전라북도전주교육지원청
수현초등학교,elmentary,2020,public,경기도,경기도화성오산교육지원청
김해율산초등학교,elmentary,2020,public,경상남도,경상남도김해교육지원청
충주남한강초등학교,elmentary,2020,public,충청북도,충청북도충주교육지원청
전주양현중학교,middle,2020,public,전라북도,전라북도전주교육지원청
서울고현초등학교,elmentary,2020,public,서울특별시,서울특별시강동송파교육지원청
향산초등학교,elmentary,2020,public,경기도,경기도김포교육지원청
충주대소원초등학교,elmentary,2020,public,충청북도,충청북도충주교육지원청
김해모산중학교,middle,2020,public,경상남도,경상남도김해교육지원청
신백중학교,middle,2020,public,경기도,경기도화성오산교육지원청
고실중학교,middle,2020,public,광주광역시,광주광역시서부교육지원청
고헌중학교,middle,2020,public,울산광역시,울산광역시강북교육지원청
섬강중학교,middle,2020,public,강원도,강원도원주교육지원청
고촌고등학교,high,2020,public,경기도,경기도김포교육지원청
반곡고등학교,high,2020,public,세종특별자치시,세종특별자치시교육청
김포구래초등학교,elmentary,2020,public,경기도,경기도김포교육지원청
용아초등학교,elmentary,2020,public,충청북도,충청북도청주교육지원청
천안희망초등학교,elmentary,2020,public,충청남도,충청남도천안교육지원청
무안행복중학교,middle,2020,public,전라남도,전라남도무안교육지원청
옥빛초등학교,elmentary,2020,public,경기도,경기도동두천양주교육지원청
가촌초등학교,elmentary,2020,public,경상남도,경상남도양산교육지원청
인천경연초등학교,elmentary,2020,public,인천광역시,인천광역시서부교육지원청
의창초등학교,elmentary,2020,public,경상남도,경상남도창원교육지원청
매성고등학교,high,2020,public,전라남도,전라남도나주교육지원청
마곡하늬중학교,middle,2020,public,서울특별시,서울특별시강서양천교육지원청
광주푸른초등학교,elmentary,2020,public,경기도,경기도광주하남교육지원청
한국창의예술고등학교,high,2020,public,전라남도,전라남도광양교육지원청
매성중학교,middle,2020,public,전라남도,전라남도나주교육지원청
산들초등학교,elmentary,2020,public,경기도,경기도파주교육지원청
무안행복초등학교,elmentary,2020,public,전라남도,전라남도무안교육지원청
향산중학교,middle,2020,public,경기도,경기도김포교육지원청
